CustomerID,Region,TransactionDate,Product ID,Product Name,Product Category,Quantity,PPU,Amount
Customer-001,Yangon,1/1/2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,70000,560000
Customer-001,Yangon,1/1/2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000
Customer-001,Yangon,1/1/2025,PROD-004,Standing Desk Converter,Furniture,6,500000,3000000
Customer-001,Yangon,1/1/2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,25500,76500
Customer-001,Yangon,1/2/2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000
Customer-001,Yangon,1/3/2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,70000,700000
Customer-001,Yangon,1/3/2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,1,25500,25500
Customer-001,Yangon,1/4/2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,750000,4500000
Customer-001,Yangon,1/5/2025,PROD-009,Adjustable Monitor Arm,Furniture,10,195000,1950000
Customer-001,Yangon,1/6/2025,PROD-009,Adjustable Monitor Arm,Furniture,7,195000,1365000
Customer-001,Yangon,1/7/2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,1,25500,25500
Customer-001,Yangon,1/7/2025,PROD-009,Adjustable Monitor Arm,Furniture,9,195000,1755000
Customer-001,Yangon,1/7/2025,PROD-001,Ergonomic Mesh Chair,Furniture,8,750000,6000000
Customer-001,Yangon,1/7/2025,PROD-010,Webcam 1080p HD,Electronics,10,180000,1800000
Customer-001,Yangon,1/10/2025,PROD-005,Noise-Cancelling Headphones,Electronics,1,900000,900000
Customer-001,Yangon,1/10/2025,PROD-001,Ergonomic Mesh Chair,Furniture,2,750000,1500000
Customer-001,Yangon,1/11/2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,900000,4500000
Customer-001,Yangon,1/11/2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,70000,630000
Customer-001,Yangon,1/12/2025,PROD-003,27-inch 4K Monitor,Electronics,9,1200000,10800000
Customer-001,Yangon,1/12/2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,25500,229500
Customer-001,Yangon,1/13/2025,PROD-005,Noise-Cancelling Headphones,Electronics,7,900000,6300000
Customer-001,Yangon,1/14/2025,PROD-009,Adjustable Monitor Arm,Furniture,4,195000,780000
Customer-001,Yangon,1/15/2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,25500,229500
Customer-001,Yangon,1/17/2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000
Customer-001,Yangon,1/17/2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,750000,4500000
Customer-001,Yangon,1/17/2025,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000
Customer-001,Yangon,1/18/2025,PROD-005,Noise-Cancelling Headphones,Electronics,8,900000,7200000
Customer-001,Yangon,1/18/2025,PROD-010,Webcam 1080p HD,Electronics,1,180000,180000
Customer-001,Yangon,1/18/2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,25500,76500
Customer-001,Yangon,1/19/2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,70000,70000
Customer-001,Yangon,1/19/2025,PROD-007,USB-C Docking Station,Electronics,7,340000,2380000
Customer-001,Yangon,1/21/2025,PROD-004,Standing Desk Converter,Furniture,7,500000,3500000
Customer-001,Yangon,1/22/2025,PROD-007,USB-C Docking Station,Electronics,2,340000,680000
Customer-001,Yangon,1/22/2025,PROD-004,Standing Desk Converter,Furniture,9,500000,4500000
Customer-001,Yangon,1/23/2025,PROD-002,Wireless Mechanical Keyboard,Electronics,5,380000,1900000
Customer-001,Yangon,1/24/2025,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000
Customer-001,Yangon,1/25/2025,PROD-002,Wireless Mechanical Keyboard,Electronics,2,380000,760000
Customer-001,Yangon,1/26/2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000
Customer-001,Yangon,1/27/2025,PROD-010,Webcam 1080p HD,Electronics,3,180000,540000
Customer-001,Yangon,1/27/2025,PROD-003,27-inch 4K Monitor,Electronics,5,1200000,6000000
Customer-001,Yangon,1/28/2025,PROD-010,Webcam 1080p HD,Electronics,2,180000,360000
Customer-001,Yangon,1/28/2025,PROD-003,27-inch 4K Monitor,Electronics,1,1200000,1200000
Customer-001,Yangon,1/29/2025,PROD-004,Standing Desk Converter,Furniture,5,500000,2500000
Customer-001,Yangon,1/29/2025,PROD-004,Standing Desk Converter,Furniture,5,500000,2500000
Customer-001,Yangon,1/30/2025,PROD-005,Noise-Cancelling Headphones,Electronics,9,900000,8100000
Customer-001,Yangon,1/30/2025,PROD-003,27-inch 4K Monitor,Electronics,2,1200000,2400000
Customer-001,Yangon,1/30/2025,PROD-003,27-inch 4K Monitor,Electronics,3,1200000,3600000
Customer-001,Yangon,1/31/2025,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000
Customer-001,Yangon,2/1/2025,PROD-010,Webcam 1080p HD,Electronics,10,180000,1800000
Customer-001,Yangon,2/1/2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000
Customer-001,Yangon,2/2/2025,PROD-005,Noise-Cancelling Headphones,Electronics,2,900000,1800000
Customer-001,Yangon,2/2/2025,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000
Customer-001,Yangon,2/2/2025,PROD-004,Standing Desk Converter,Furniture,3,500000,1500000
Customer-001,Yangon,2/6/2025,PROD-010,Webcam 1080p HD,Electronics,1,180000,180000
Customer-001,Yangon,2/6/2025,PROD-002,Wireless Mechanical Keyboard,Electronics,7,380000,2660000
Customer-001,Yangon,2/7/2025,PROD-005,Noise-Cancelling Headphones,Electronics,2,900000,1800000
